temperature,humidity,wind_speed,carbon_emissions,solar_irradiance,pollution_level
22.49080238,52.41844911,19.59996622,337.1650558,369.0208371,84.72365777
34.01428613,49.97472577,8.690239912,256.6816041,185.3359976,49.45170437
29.63987884,40.56923475,11.93279389,484.0243362,213.7233025,19.54656106
26.97316968,66.43600021,18.26561274,148.5403029,262.6040154,73.66417866
18.12037281,58.59744963,14.64178689,314.5353872,283.2880009,41.86781357
18.11989041,81.94205954,19.77142077,365.0945067,318.0356283,59.46274835
16.16167224,31.92657483,24.22415802,421.5040202,329.9140261,10.72652902
32.32352292,68.63207565,7.330933754,233.1369637,510.1447109,63.15839895
27.02230023,75.77693271,19.19135433,359.1148584,558.6158717,37.35504889
29.16145156,75.56919415,9.606883113,186.4406621,377.9912873,33.41897497
15.41168989,83.16443803,13.28953455,245.9642416,916.5667779,97.99155788
34.39819704,73.74202457,5.657254516,453.032209,597.825751,43.24306428
31.64885282,85.6686037,7.718147646,477.4584242,808.7292352,67.80383781
19.24678221,49.95939599,11.39554578,373.4678061,931.8140492,62.77275356
18.63649934,60.19256501,11.83971611,218.4583508,246.8216031,10.43035509
18.6680902,30.8447798,22.99170433,419.0260055,485.0870353,74.79275371
21.08484486,30.41745524,19.83625819,61.64018678,489.8893615,32.31592034
25.49512863,44.40759723,24.44365936,96.23565974,419.0250254,79.89395492
23.63890037,36.04843183,16.98143021,347.6181814,108.0152799,60.76407826
20.8245828,45.61268208,9.834274642,181.0618589,834.374897,31.709149
27.23705789,40.62259767,11.5531006,478.1237983,200.4033894,35.62929603
17.78987721,31.71120149,11.39671847,246.2272754,995.9325381,73.15073697
20.84289297,84.55824878,11.52988655,243.2141692,795.6626427,55.00593151
22.32723687,30.49338788,18.45928346,355.1357796,622.0090158,66.83510407
24.12139968,74.16492866,15.61615856,395.405853,239.145776,15.83183211
30.70351923,39.12887322,12.70848356,264.0014322,563.8536743,78.69766722
18.99347564,84.73377732,7.981795375,146.3004058,334.9978668,32.03913189
25.28468877,83.56775638,5.442783259,397.9888892,327.0902721,61.98612672
26.84829138,69.23406878,9.376693552,194.1580737,846.5763244,11.46798252
15.92900825,70.33404899,7.149428079,128.7998462,442.5799816,32.14202412
27.15089704,30.32034852,20.70890062,334.2380855,505.6514231,64.88672931
18.41048247,89.09229397,7.249959156,90.70415015,858.668264,27.42061323
16.30103186,82.66995621,19.48456475,487.1087038,179.0115631,88.03121967
33.97771075,83.70637354,12.7131738,334.578769,635.1560678,66.12283994
34.31264066,69.55467222,6.467567795,493.6529844,620.3941132,87.02783933
31.16794696,50.68721572,21.25460099,202.5020406,482.6931123,39.53907023
21.09227538,83.61891895,16.5926114,487.0423225,846.7971773,3.398514262
16.95344228,47.49101569,9.715230257,115.5030115,948.6010552,57.61399634
28.68466053,63.7626926,22.89362349,68.31264756,518.8022757,33.91935027
23.80304987,35.98385834,5.905166277,64.8428272,510.5323459,44.81883759
17.4407647,85.31733781,9.036392164,259.1916668,551.8573567,68.11102139
24.9035382,38.44622747,20.04093856,87.35188887,750.8116277,70.06646671
15.68777042,43.49380834,19.18755861,280.4755479,701.2542616,2.755641487
33.18640804,63.48804949,10.78543387,197.3752266,300.5514543,76.93026728
